الاسم,خط العرض,خط الطول,التصنيف,الوصف,معرف المكان,سعر الدخول (جنيه)
Barakat Home (6th of Oct),29.960197,30.9401359,أخرى,"Barakat Home (6th of Oct) is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",314,
نادى المحامين النهرى,29.9907548,31.2283862,أخرى,"نادى المحامين النهرى is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",319,
miraj hall,29.9559813,31.153332,أخرى,"miraj hall is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",323,
ABUSIMBEL PAPYRUS,29.9813351,31.1430577,ثقافي,"ABUSIMBEL PAPYRUS is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",324,
مقر سناك شوت,29.9964033,31.3127957,ثقافي,"مقر سناك شوت is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",327,
Farida home,29.9945901,30.982463,أخرى,"Farida home is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",335,
مقر اكسلوسيف,29.9690249,31.3348687,ثقافي,"مقر اكسلوسيف is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",336,
Hnaton Carpet School,29.8633751,31.2327498,أخرى,"Hnaton Carpet School is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",337,
شارع الهرم اختصار,30.0036367,31.1857381,أخرى,"شارع الهرم اختصار is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",342,
اولكر,30.1088902,31.1994124,ثقافي,"اولكر is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",343,
مسجد رامو,29.9820436,30.979335,أخرى,مسجد رامو is a mosque serving the local Muslim community and representing Egypt's Islamic architectural heritage. Egypt's mosques range from medieval masterpieces to modern places of worship.,344,
شغل,30.0000793,31.2648544,ثقافي,"شغل is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",345,
Dok Dok Boating,30.0367696,31.2289963,أخرى,"Dok Dok Boating is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",348,
Sharia al Muizz Li Din Allah,30.0467278,31.2600713,أخرى,"Sharia al Muizz Li Din Allah is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",349,
مصور احمد سامي,30.0383492,31.1964311,ثقافي,"مصور احمد سامي is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",350,
سيدنا الحسين,30.0465867,31.2614212,ثقافي,"سيدنا الحسين is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",351,
السيدة نفيسه,30.019316,31.2510038,ثقافي,"السيدة نفيسه is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",352,
EGY hawamdya,29.8901274,31.2720231,أخرى,"EGY hawamdya is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",365,
Houra Mht,29.9993741,31.1510642,أخرى,"Houra Mht is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",371,
Masjid AlPasha,30.0211054,31.2252474,أخرى,"Masjid AlPasha is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",373,
ashraf,30.1294985,31.2741646,أخرى,"ashraf is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",377,
new home,30.0041448,31.0488784,أخرى,"new home is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",382,
Zamalek tree,30.0466497,31.2250489,أخرى,"Zamalek tree is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",387,
32 ريينا أب تاون كايرو د/وائل حبيب,30.024972,31.3133971,أخرى,"32 ريينا أب تاون كايرو د/وائل حبيب is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",389,
Anubieion,29.8751644,31.2230149,أخرى,"Anubieion is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",393,
nasr city h,30.0459416,31.3275669,أخرى,"nasr city h is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",398,
apartamento,30.1406644,31.3609787,أخرى,"apartamento is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",399,
apartamento verdadero,30.1390253,31.3617387,أخرى,"apartamento verdadero is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",400,
منزل عبدالباسط محمود حسن,30.1464667,31.2324835,أخرى,"منزل عبدالباسط محمود حسن is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",401,
Bubasteion,29.8735271,31.2239814,تاريخي,Bubasteion is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,402,
Tomb of Meresankh III,29.9778003,31.1377395,أخرى,Tomb of Meresankh III is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,410,
Shahbor Studio,29.97128,31.1425487,أخرى,"Shahbor Studio is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",414,
منزل ابو دعاء المصري,30.0093403,31.3381087,أخرى,"منزل ابو دعاء المصري is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",416,
Photo point of Pyramids,29.974455,31.1239021,أخرى,Photo point of Pyramids is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,418,
Panorama point II.,29.9664651,31.1279181,أخرى,"Panorama point II. is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",419,
Anubis Kingdom Pyramids Hotel,29.9738329,31.1408581,أخرى,Anubis Kingdom Pyramids Hotel is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,420,
Pyramids View apartment,29.9739005,31.1421593,أخرى,Pyramids View apartment is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,423,
Al Masar Art Gallery,30.0594759,31.2242203,ثقافي,"Al Masar Art Gallery is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",431,
